cell_id,condition_id,capacity_Ah,soh_estimate,resistance_growth,predicted_rul_cycles,rul_lower_cycles,lifetime_interval_width,eligible,grade,gate_failures
T35_C1_D80_0,T35_C1_D80,1.609525,0.8648069084613823,0.31705850294112126,463.9357440387055,377.5624559024236,179.36292365484906,True,A,NONE
T35_C1_D80_1,T35_C1_D80,1.870049,0.8677781979920974,0.34425072875471163,360.3215043039968,283.0995469408049,160.21608906975757,True,A,NONE
T35_C1_D80_2,T35_C1_D80,1.849078,0.8702727100297407,0.3311858031537831,385.619957863192,318.7067107122873,138.016027874864,True,A,NONE
T35_C1_D80_3,T35_C1_D80,1.634508,0.8807173945548816,0.2902966799148903,557.2069398654444,456.11482089522633,210.6574084386673,True,A,NONE
T35_C2_D100_0,T35_C2_D100,1.605729,0.8058875858062556,0.43304494224383827,-32.15228005248173,-84.33524963714649,108.4566805120096,False,REJECT,RUL_LOWER_BELOW_MIN
T35_C2_D100_1,T35_C2_D100,1.679604,0.80483243319394,0.4263753589729151,-54.537191067096046,-104.02037819542113,102.75687433703422,False,REJECT,RUL_LOWER_BELOW_MIN
T35_C2_D100_2,T35_C2_D100,1.676823,0.8209376371586684,0.44257700336139383,5.826925792506586,-46.740222021214436,109.06357626568865,False,REJECT,RUL_LOWER_BELOW_MIN
T35_C2_D100_3,T35_C2_D100,1.547598,0.8074867412290188,0.3882722775618834,-24.665319277676303,-67.40364773187059,88.1525644384966,False,REJECT,RUL_LOWER_BELOW_MIN
T35_C2_D50_0,T35_C2_D50,1.781265,0.8998828457125017,0.25739856431079655,985.6165789211307,851.3936396663571,279.69595280479916,True,A,NONE
T35_C2_D50_1,T35_C2_D50,1.821723,0.9112013781140365,0.22192847389674908,961.1260383345091,836.7380441503583,258.52704535858174,True,A,NONE
T35_C2_D50_2,T35_C2_D50,1.924208,0.8893979417562785,0.2426343333851495,857.9844785237806,743.5740516422609,237.58489580355194,True,A,NONE
T35_C2_D50_3,T35_C2_D50,1.698622,0.9012368899612286,0.2443308442209995,973.0661300426195,853.2282824351205,248.6333152099403,True,A,NONE
T35_C2_D80_0,T35_C2_D80,1.535206,0.834863575221855,0.35426267281105983,190.45006373213312,135.03665970390523,114.29632009567797,True,B,NONE
T35_C2_D80_1,T35_C2_D80,1.711655,0.8617739557380816,0.36852663645144546,292.61115366931676,211.98140211883606,168.0175930398866,True,B,NONE
T35_C2_D80_2,T35_C2_D80,1.750832,0.8506030581895526,0.35144777233883673,293.45329872976026,217.60087176291825,157.6510977255872,True,B,NONE
T35_C2_D80_3,T35_C2_D80,1.781774,0.8472447856572081,0.37002408422115396,243.93784590110135,173.21772716734245,146.8575242532279,True,B,NONE
T45_C0p5_D100_0,T45_C0p5_D100,1.63048,0.8110474927481118,0.4725465011179295,-41.90588215548007,-91.15325200768598,102.1758741180679,False,REJECT,RUL_LOWER_BELOW_MIN;RESISTANCE_GROWTH_ABOVE_MAX
T45_C0p5_D100_1,T45_C0p5_D100,1.513904,0.799087694351216,0.4992038596123225,-83.97764463319197,-123.22115930031941,80.94412160257377,False,REJECT,RUL_LOWER_BELOW_MIN;RESISTANCE_GROWTH_ABOVE_MAX
