seed,held_out_scenario,training_scenarios,strategy,candidate_group_count,training_reject_group_count,robust_candidate_group_count,max_feasible_groups,selected_groups,group_shortfall,thresholds_relaxed,selection_status,selection_worst_training_margin,n_groups,stable_count,reinspect_count,reject_count,stable_rate_target,selected_group_reject_rate,weakest_soh,largest_resistance_range,worst_safety_margin
17005,baseline_use,high_temperature;high_c_rate;high_dod;combined_stress,REFERENCE_INTERVAL_RISK,943,,,6,6,2,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,6,2,1,3,0.25,0.5,0.7808071767369021,0.01724176016709089,-1.0
17005,baseline_use,high_temperature;high_c_rate;high_dod;combined_stress,ROBUST_LOSO,943,943,0,0,0,8,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,0,0,0,0,0.0,,,,
17005,high_temperature,baseline_use;high_c_rate;high_dod;combined_stress,REFERENCE_INTERVAL_RISK,943,,,6,6,2,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,6,0,0,6,0.0,1.0,0.7634467199205033,0.025718094536709257,-1.0
17005,high_temperature,baseline_use;high_c_rate;high_dod;combined_stress,ROBUST_LOSO,943,943,0,0,0,8,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,0,0,0,0,0.0,,,,
17005,high_c_rate,baseline_use;high_temperature;high_dod;combined_stress,REFERENCE_INTERVAL_RISK,943,,,6,6,2,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,6,2,1,3,0.25,0.5,0.7774454569054532,0.01888313755996096,-1.0
17005,high_c_rate,baseline_use;high_temperature;high_dod;combined_stress,ROBUST_LOSO,943,943,0,0,0,8,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,0,0,0,0,0.0,,,,
17005,high_dod,baseline_use;high_temperature;high_c_rate;combined_stress,REFERENCE_INTERVAL_RISK,943,,,6,6,2,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,6,0,0,6,0.0,1.0,0.7687966887066104,0.019252841158740708,-1.0
17005,high_dod,baseline_use;high_temperature;high_c_rate;combined_stress,ROBUST_LOSO,943,943,0,0,0,8,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,0,0,0,0,0.0,,,,
17005,combined_stress,baseline_use;high_temperature;high_c_rate;high_dod,REFERENCE_INTERVAL_RISK,943,,,6,6,2,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,6,0,0,6,0.0,1.0,0.7388076479394343,0.031452653618253334,-1.0
17005,combined_stress,baseline_use;high_temperature;high_c_rate;high_dod,ROBUST_LOSO,943,817,126,3,3,5,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,0.0181789638035994,3,0,0,3,0.0,1.0,0.7809284484958606,0.02333774747521855,-1.0
17006,baseline_use,high_temperature;high_c_rate;high_dod;combined_stress,REFERENCE_INTERVAL_RISK,70,,,2,2,6,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,2,0,0,2,0.0,1.0,0.7957731351130675,0.015434804483917652,-1.0
17006,baseline_use,high_temperature;high_c_rate;high_dod;combined_stress,ROBUST_LOSO,70,70,0,0,0,8,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,0,0,0,0,0.0,,,,
17006,high_temperature,baseline_use;high_c_rate;high_dod;combined_stress,REFERENCE_INTERVAL_RISK,70,,,2,2,6,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,2,0,0,2,0.0,1.0,0.7787637760566148,0.023027306031082828,-1.0
17006,high_temperature,baseline_use;high_c_rate;high_dod;combined_stress,ROBUST_LOSO,70,70,0,0,0,8,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,0,0,0,0,0.0,,,,
17006,high_c_rate,baseline_use;high_temperature;high_dod;combined_stress,REFERENCE_INTERVAL_RISK,70,,,2,2,6,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,2,0,0,2,0.0,1.0,0.7924794026805028,0.016905034403057906,-1.0
17006,high_c_rate,baseline_use;high_temperature;high_dod;combined_stress,ROBUST_LOSO,70,70,0,0,0,8,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,0,0,0,0,0.0,,,,
17006,high_dod,baseline_use;high_temperature;high_c_rate;combined_stress,REFERENCE_INTERVAL_RISK,70,,,2,2,6,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,2,0,0,2,0.0,1.0,0.7840055471105741,0.0167916228722218,-1.0
17006,high_dod,baseline_use;high_temperature;high_c_rate;combined_stress,ROBUST_LOSO,70,70,0,0,0,8,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,0,0,0,0,0.0,,,,
17006,combined_stress,baseline_use;high_temperature;high_c_rate;high_dod,REFERENCE_INTERVAL_RISK,70,,,2,2,6,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,2,0,0,2,0.0,1.0,0.7546230044988121,0.027437541296779555,-1.0
