history_window,feature_group,feature_names,model,n_rows,n_cells,mae,rmse,r2,mae_ci_low,mae_ci_high,rmse_ci_low,rmse_ci_high,r2_ci_low,r2_ci_high
50,all,soh_observed;capacity_obs;resistance_growth;capacity_slope;resistance_slope;cycle;efc;temperature;c_rate;dod,ridge,1944,108,0.0035058300621258185,0.004402243201730538,0.9929634797779333,0.003328798505871523,0.0037039187764588894,0.004168137231354641,0.004646874633177463,0.9918683985330666,0.993893924084976
100,capacity,soh_observed;capacity_obs;capacity_slope;cycle;efc,local_linear,1944,108,0.009981784580527198,0.011243304065614556,0.9541015743585031,0.009507093696226314,0.010535071578209083,0.010752412944088635,0.011824498438933174,0.948650379479502,0.9588235584092331
100,capacity,soh_observed;capacity_obs;capacity_slope;cycle;efc,persistence,1944,108,0.018056177513281254,0.019355497092331524,0.8639750621679044,0.01716806957503457,0.018978285144157156,0.01843378399142322,0.020215944152291204,0.8488065562725164,0.8751416615249056
100,capacity,soh_observed;capacity_obs;capacity_slope;cycle;efc,random_forest,1944,108,0.0039682510143520255,0.0050083855312375225,0.9908923699432621,0.003813615230790312,0.004127321012288561,0.0047980330165053936,0.005230239419591124,0.9892445213664841,0.9920121291347412
100,capacity,soh_observed;capacity_obs;capacity_slope;cycle;efc,ridge,1944,108,0.0037664103988875857,0.004807697102319021,0.9916076406116927,0.003594233188717971,0.0039563873996767505,0.004607738929554774,0.0050473382852028415,0.990339326544247,0.9927097057905662
100,capacity_resistance,soh_observed;capacity_obs;capacity_slope;resistance_growth;resistance_slope;cycle;efc,local_linear,1944,108,0.009981784580527198,0.011243304065614556,0.9541015743585031,0.009435444926597958,0.010485212219065286,0.010740490137082202,0.011731922962660757,0.9476259343787047,0.9585723645538938
100,capacity_resistance,soh_observed;capacity_obs;capacity_slope;resistance_growth;resistance_slope;cycle;efc,persistence,1944,108,0.018056177513281254,0.019355497092331524,0.8639750621679044,0.017033203135336617,0.01898645562573465,0.01829888401323652,0.02020839466432261,0.8482735953311081,0.873704352612606
100,capacity_resistance,soh_observed;capacity_obs;capacity_slope;resistance_growth;resistance_slope;cycle;efc,random_forest,1944,108,0.003645549300725371,0.004611564177137721,0.9922784161657366,0.0034856673054761388,0.003838797873641213,0.0044123802037057255,0.004860352311938522,0.9911924843932864,0.9932076200088265
100,capacity_resistance,soh_observed;capacity_obs;capacity_slope;resistance_growth;resistance_slope;cycle;efc,ridge,1944,108,0.003511972691611947,0.0044562282537908915,0.9927898428106928,0.003369896780647911,0.0037386427922018145,0.004298754606792359,0.004721671943574957,0.9914531064750456,0.9936172499840227
100,capacity_operating,soh_observed;capacity_obs;capacity_slope;cycle;efc;temperature;c_rate;dod,local_linear,1944,108,0.009981784580527198,0.011243304065614556,0.9541015743585031,0.009468996820455051,0.010543928087814812,0.010728954467468282,0.011790591267464672,0.9489777751798907,0.959093771595871
100,capacity_operating,soh_observed;capacity_obs;capacity_slope;cycle;efc;temperature;c_rate;dod,persistence,1944,108,0.018056177513281254,0.019355497092331524,0.8639750621679044,0.017275913050560948,0.01893374790576807,0.01856623491367812,0.02017340292314822,0.851312674006427,0.8770491549235434
100,capacity_operating,soh_observed;capacity_obs;capacity_slope;cycle;efc;temperature;c_rate;dod,random_forest,1944,108,0.0037711125079655174,0.004780681825863002,0.9917016918422473,0.0035704252331984292,0.0039808833196994685,0.00452925396578163,0.0050748007211812544,0.9903063770231919,0.9925748982788832
